$id,$type,AdditionalRunsNotFromBat,Runs,CatcherUserId,BatsmanId
636750320,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
1057318512,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
333950871,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
353645438,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
326646671,live_scoring_core.events.outdoor_cricket.ball_results.Bye,2,NA,NA,NA
419770911,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
635435615,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
187371540,live_scoring_core.events.outdoor_cricket.ball_results.Stumped,NA,NA,NA,NA
1005401929,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
987503154,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
910205232,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
315639036,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
310276645,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
491512143,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
413255972,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
469483351,live_scoring_core.events.outdoor_cricket.ball_results.Caught,NA,NA,188342,NA
1048441994,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
626600816,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
798114309,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
625685789,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
533338168,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
51065406,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
1027586864,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
747710831,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
1015550487,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
794196315,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
233056136,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
685101273,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
612185612,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
193702733,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
859672538,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
803299223,live_scoring_core.events.outdoor_cricket.ball_results.Bowled,NA,NA,NA,NA
692504517,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
528891106,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
834287872,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
627511855,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
832502689,live_scoring_core.events.outdoor_cricket.ball_results.Bowled,NA,NA,NA,NA
